%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1588858883151024283,1961,1588858883150858779,,0.499228286441,-0.199324827124,0.2126900067
1588858883157131850,1962,1588858883157001351,,0.49922818266,-0.199324257674,0.212683666305
1588858883159975378,1963,1588858883159883106,,0.499228242996,-0.199324309967,0.212678123002
1588858883166018360,1964,1588858883165902800,,0.499228582655,-0.199322314239,0.212673108654
1588858883168990257,1965,1588858883168881000,,0.499228540286,-0.199321445385,0.212668509661
1588858883172139364,1966,1588858883171986483,,0.499228159221,-0.199321126371,0.21266160801
1588858883175045135,1967,1588858883174909148,,0.499228051998,-0.199320461124,0.212657269355
1588858883181121753,1968,1588858883180930505,,0.499228429962,-0.19931921501,0.212652639338
1588858883184099186,1969,1588858883183976609,,0.499228080574,-0.199317800736,0.212647264755
1588858883190368386,1970,1588858883190267156,,0.499227845689,-0.1993151688,0.21264406871
1588858883196078414,1971,1588858883195920171,,0.499227315626,-0.199312902831,0.212639498146
1588858883199098323,1972,1588858883198937095,,0.4992268347,-0.19930976984,0.212635642158
1588858883202076954,1973,1588858883201921208,,0.499227055385,-0.199306805746,0.212633598288
1588858883205087961,1974,1588858883204920176,,0.499226500377,-0.199304293156,0.212629333663
1588858883208082832,1975,1588858883207928795,,0.499226460309,-0.199300083399,0.2126266691
1588858883214062662,1976,1588858883213931439,,0.499225541417,-0.199296289229,0.212622344245
1588858883217022536,1977,1588858883216941647,,0.499225232448,-0.199291149199,0.212620407421
1588858883220116307,1978,1588858883219985318,,0.499225114692,-0.199286959627,0.212616989241
1588858883223089431,1979,1588858883222984944,,0.499224739825,-0.199282992177,0.212613556662
1588858883228995521,1980,1588858883228880005,,0.499224502971,-0.199278770955,0.212610537195
1588858883232056603,1981,1588858883231918603,,0.499224269416,-0.199273344291,0.212607242307
1588858883238063145,1982,1588858883237916952,,0.499224566167,-0.199268854951,0.212603844947
1588858883241150265,1983,1588858883240940787,,0.499223600692,-0.199264283429,0.212600563552
1588858883247027110,1984,1588858883246906456,,0.499223508155,-0.199253844142,0.212594188916
1588858883253244779,1985,1588858883253029718,,0.499223108093,-0.199248650253,0.212591337018
1588858883256075358,1986,1588858883255971531,,0.499223421224,-0.199241943144,0.212588036938
1588858883262030485,1987,1588858883261911806,,0.499223780607,-0.199237153346,0.212585534283
1588858883265033443,1988,1588858883264917630,,0.499223594165,-0.199230050655,0.212582502457
1588858883268036949,1989,1588858883267880801,,0.499224289748,-0.199226978481,0.212579737454
1588858883274026919,1990,1588858883273909229,,0.499224796528,-0.199220326292,0.212577673558
1588858883277114608,1991,1588858883276960907,,0.499225432216,-0.19921700936,0.212576153719
1588858883283124258,1992,1588858883282981248,,0.49922552192,-0.199214384441,0.212573053875
1588858883286505039,1993,1588858883286324930,,0.499226308321,-0.199211588263,0.212572001256
1588858883292205464,1994,1588858883291989023,,0.499226591811,-0.199210011533,0.21256919804
1588858883295055532,1995,1588858883294941309,,0.499227265138,-0.199209596025,0.212568523773
1588858883298044277,1996,1588858883297916249,,0.499228113403,-0.199208644869,0.212567167784
1588858883301209403,1997,1588858883300933874,,0.499228190236,-0.19920850107,0.212565696815
1588858883304146878,1998,1588858883303956347,,0.499229154168,-0.199209005499,0.212564848774
1588858883310219225,1999,1588858883309985437,,0.499229038808,-0.199208783436,0.212561805687
1588858883313145424,2000,1588858883312987918,,0.49922945592,-0.199212043755,0.212561449411
1588858883316107615,2001,1588858883315952040,,0.49922996623,-0.199211924978,0.21255873237
1588858883322172803,2002,1588858883322062569,,0.499230063446,-0.199212734466,0.212557617174
1588858883325215080,2003,1588858883324994680,,0.499230380261,-0.19921437734,0.212555983107
1588858883328145851,2004,1588858883328018876,,0.499230775819,-0.199215769161,0.212553762882
1588858883334078801,2005,1588858883333944948,,0.499230507326,-0.199217623538,0.21255144117
1588858883337059152,2006,1588858883336917385,,0.499230792642,-0.199218893516,0.212549497049
1588858883340011164,2007,1588858883339893457,,0.499230648138,-0.199220646377,0.212547449937
1588858883346115312,2008,1588858883345969278,,0.499230774164,-0.199223071208,0.212545779159
1588858883349159401,2009,1588858883349024442,,0.499230977865,-0.199223785521,0.212543232763
1588858883352031650,2010,1588858883351932132,,0.499231071067,-0.19922551224,0.212541543959
1588858883357977398,2011,1588858883357874339,,0.499230971484,-0.199227736571,0.212539811787
1588858883362281085,2012,1588858883362141319,,0.499231750395,-0.199229240277,0.212538230453
1588858883367137826,2013,1588858883366920734,,0.499231637976,-0.199231520027,0.212536170978
1588858883370009487,2014,1588858883369862908,,0.499231104185,-0.199234671271,0.212533009418
1588858883373063700,2015,1588858883372938652,,0.499231304855,-0.199236230775,0.212531548877
1588858883376092943,2016,1588858883376017978,,0.499231846981,-0.199239116093,0.212529939534
1588858883382102163,2017,1588858883381964700,,0.499231387863,-0.199241759681,0.212527346928
1588858883385136497,2018,1588858883384989464,,0.499231183049,-0.199245684622,0.212524810572
1588858883391142472,2019,1588858883390984259,,0.499230813436,-0.199248922502,0.212522548756
1588858883394216268,2020,1588858883394029721,,0.499230730957,-0.199252668449,0.212520117331
1588858883397208708,2021,1588858883397084122,,0.499230196732,-0.19925588216,0.212517457512
1588858883400094351,2022,1588858883399947733,,0.499230202031,-0.199259338288,0.212515864829
1588858883406085930,2023,1588858883405928093,,0.499229188289,-0.19926330648,0.21251343328
1588858883409050769,2024,1588858883408945042,,0.499229096225,-0.199265278017,0.212511221254
1588858883415077127,2025,1588858883414963164,,0.49922919579,-0.199270483493,0.212509260291
1588858883418133370,2026,1588858883417983214,,0.499228778263,-0.199273596438,0.21250716817
1588858883421132791,2027,1588858883420963564,,0.499228822058,-0.199277241292,0.212505310092
1588858883427044892,2028,1588858883426949911,,0.499229053612,-0.19928124819,0.212503666702
1588858883430083106,2029,1588858883429970025,,0.499228923875,-0.199284828002,0.212500828259
1588858883433184989,2030,1588858883432987065,,0.499228807266,-0.199289547845,0.212499983934
1588858883439075250,2031,1588858883438944771,,0.499229034022,-0.199293381912,0.212498920724
1588858883442099711,2032,1588858883441979344,,0.499229285005,-0.199298694612,0.212497972144
1588858883445180538,2033,1588858883444954106,,0.499229616625,-0.199302296764,0.212497620335
1588858883451094462,2034,1588858883450915979,,0.499230226011,-0.199306683493,0.212498458566
1588858883457183645,2035,1588858883456968199,,0.499230440987,-0.199311751637,0.212497536251
1588858883460055543,2036,1588858883459950096,,0.499231234038,-0.199316617787,0.212499609216
1588858883463119307,2037,1588858883462941581,,0.499231720034,-0.199320024968,0.212500246831
1588858883466074545,2038,1588858883465975169,,0.499231297322,-0.199323697724,0.212499707395
1588858883469107573,2039,1588858883468955956,,0.499232421356,-0.199326877475,0.212501390366
1588858883475179856,2040,1588858883474990218,,0.499232306462,-0.199327494145,0.212500901228
1588858883478157896,2041,1588858883477957927,,0.499232049754,-0.199329862795,0.212499811057
1588858883481185758,2042,1588858883481007466,,0.499232534479,-0.199330567817,0.212499925965
1588858883487291224,2043,1588858883487182888,,0.49923244368,-0.199332508727,0.212498601361
1588858883490409122,2044,1588858883490261801,,0.499232481786,-0.199333016325,0.212498369706
1588858883496276425,2045,1588858883496053652,,0.499232734742,-0.199334560421,0.212496981771
1588858883499138658,2046,1588858883498975545,,0.499232739884,-0.199334322309,0.212494733078
1588858883502132413,2047,1588858883501993292,,0.499233367581,-0.199335659116,0.212494912419
1588858883505038307,2048,1588858883504960697,,0.499233261852,-0.199335402709,0.212492308318
1588858883511112377,2049,1588858883511002659,,0.499233544731,-0.199337016133,0.212491217682
1588858883514135554,2050,1588858883514005490,,0.499234154538,-0.199336771113,0.212489207946
1588858883517068484,2051,1588858883516962421,,0.499234546241,-0.199336601088,0.212487827196
