%time,field.header.seq,field.header.stamp,field.header.frame_id,field.array.layout.data_offset,field.array.data0,field.array.data1,field.array.data2,field.array.data3,field.array.data4,field.array.data5,field.array.data6
1588858879884744845,1162,1588858879884506585,,0,0.0375561119373,-0.0781728188584,-0.145437561822,-0.0569845309144,0.0669710399186,-0.18505337006,-0.0598984075898
1588858879890690887,1163,1588858879890570410,,0,0.0364100966899,-0.0782745513668,-0.14629671214,-0.0556288615797,0.0687570434716,-0.185781041309,-0.0586982062474
1588858879896331361,1164,1588858879896254902,,0,0.0364923225818,-0.0784016175159,-0.146600070722,-0.0557325150421,0.0688927829208,-0.186132926692,-0.0588035279938
1588858879902328409,1165,1588858879902245331,,0,0.0364943643141,-0.0784052125752,-0.146600258288,-0.0557295702988,0.0688921239366,-0.18613034053,-0.0588063986542
1588858879908561971,1166,1588858879908450954,,0,0.0368978238738,-0.0778595564296,-0.147444959304,-0.055722304666,0.0690519544185,-0.18623041636,-0.0586619088667
1588858879914405953,1167,1588858879914337516,,0,0.0375541992591,-0.078168089766,-0.145439908137,-0.056989374502,0.0669749270109,-0.185054248437,-0.0598997985905
1588858879920442660,1168,1588858879920359368,,0,0.0375530761128,-0.0781708757527,-0.14544003133,-0.0569870217041,0.0669748638803,-0.185047260167,-0.0599033565087
1588858879926359363,1169,1588858879926295671,,0,0.0371307898466,-0.0785168121466,-0.144298792658,-0.056922364627,0.0666180285378,-0.184534795084,-0.0599546326097
1588858879932317757,1170,1588858879932241498,,0,0.0363138544132,-0.0773998591041,-0.14555225276,-0.055187572753,0.0683030211337,-0.184378733633,-0.0581676420989
1588858879938357737,1171,1588858879938260887,,0,0.0358887571281,-0.0770490704567,-0.144157223339,-0.0547941190532,0.0677698459808,-0.183047765296,-0.0577940093128
1588858879944351910,1172,1588858879944249217,,0,0.034854801209,-0.0757753803761,-0.140555485027,-0.0536640596101,0.0662628356359,-0.179205428489,-0.0566430019167
1588858879950366174,1173,1588858879950210964,,0,0.0348498566339,-0.0757328164218,-0.140519084418,-0.0536800527561,0.0662371204006,-0.179261414539,-0.0565660094135
1588858879956367045,1174,1588858879956294240,,0,0.0347405130689,-0.0744205587171,-0.139463245494,-0.0531019361564,0.0656496184417,-0.177518486802,-0.0557126747065
1588858879962481604,1175,1588858879962396730,,0,0.0341949781552,-0.074526594018,-0.138166969115,-0.0529636810823,0.0653548189165,-0.176775423767,-0.055631156247
1588858879968536781,1176,1588858879968425014,,0,0.033122293688,-0.0745056730792,-0.140290828387,-0.0515753527425,0.0678726414219,-0.178239990066,-0.0543213637701
1588858879974547445,1177,1588858879974437433,,0,0.0354799026911,-0.076066907573,-0.143170250098,-0.0546137854556,0.0674272758942,-0.18173304854,-0.0572140904507
1588858879980399864,1178,1588858879980323572,,0,0.0354401608131,-0.0758264582031,-0.142986816664,-0.0544170983393,0.0671825981288,-0.181076119003,-0.0570582495571
1588858879986823111,1179,1588858879986744513,,0,0.0364577769981,-0.0756136469472,-0.145864644833,-0.0548682772589,0.0680776840889,-0.182858318509,-0.0573428188584
1588858879992630013,1180,1588858879992542182,,0,0.0365529506277,-0.0763845071011,-0.146691954903,-0.0552025257345,0.0684681548101,-0.183965068218,-0.0578187898776
1588858879998505342,1181,1588858879998424114,,0,0.0373507734929,-0.0778267982798,-0.149792809469,-0.0562196313816,0.0697580479563,-0.187497827481,-0.0588881434699
1588858880004483959,1182,1588858880004401877,,0,0.0373146379612,-0.0774179533041,-0.149491962888,-0.0558775105854,0.0694783030318,-0.186719518235,-0.05854348669
1588858880010442023,1183,1588858880010298986,,0,0.0378308481428,-0.0769752574512,-0.150588940121,-0.0558115364066,0.069639196284,-0.18708935242,-0.0583138871533
1588858880016539548,1184,1588858880016432914,,0,0.0368525531408,-0.0746900628942,-0.146488855983,-0.054073547304,0.0676620911984,-0.181831532954,-0.0564677042081
1588858880022546368,1185,1588858880022437617,,0,0.0368312322401,-0.0742262052994,-0.146116246122,-0.0537543306347,0.0673977404369,-0.181208389073,-0.0560369751724
1588858880028545953,1186,1588858880028469925,,0,0.0357044427141,-0.0738335015424,-0.142673961253,-0.052902365252,0.0661236662708,-0.178466655247,-0.0552128995271
1588858880034463880,1187,1588858880034373100,,0,0.0343180876091,-0.0721773787423,-0.1378397981,-0.0513423502886,0.0640995774932,-0.173429085552,-0.0535980271046
1588858880040472026,1188,1588858880040364456,,0,0.034276621372,-0.0716899427481,-0.137445006554,-0.0511018336714,0.0638337388454,-0.172850976442,-0.0531727592123
1588858880046438484,1189,1588858880046333086,,0,0.0342069682249,-0.0702699628054,-0.136454326024,-0.0503901338129,0.0631533274787,-0.170847288208,-0.052227604271
1588858880052475422,1190,1588858880052396277,,0,0.0352284022772,-0.0693513553883,-0.138922232735,-0.05059893988,0.0637679155502,-0.171899727042,-0.0520337862478
1588858880058519342,1191,1588858880058430612,,0,0.03516465672,-0.0688966082384,-0.138547521958,-0.050385930563,0.0634838856885,-0.17124394315,-0.0516683099783
1588858880064494823,1192,1588858880064404715,,0,0.0359283608784,-0.0692842811677,-0.141035602463,-0.0510283797531,0.0643836089317,-0.173518581157,-0.0521191197992
1588858880070502473,1193,1588858880070404937,,0,0.0366946212201,-0.0694569694415,-0.143524302913,-0.0516441825753,0.065226964757,-0.175518991717,-0.0525058392224
1588858880076447904,1194,1588858880076371150,,0,0.0376628960648,-0.0730173641053,-0.143840317944,-0.0547729633911,0.0643977946758,-0.179144729687,-0.0558259110287
1588858880082503302,1195,1588858880082407946,,0,0.0375295773434,-0.0725610980212,-0.143557728167,-0.0546688795441,0.0641307137879,-0.178328298482,-0.055596139046
1588858880088605853,1196,1588858880088520098,,0,0.0370644242969,-0.0726154761897,-0.142524444736,-0.0545814772202,0.0637800278503,-0.177596996363,-0.0554917864135
