%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1589275665332614795,1769,1589275665332557885,,0.00468203961512,-1.33786311926,1.12443419605
1589275665338894107,1770,1589275665338790450,,0.00513515645466,-1.36299780891,1.1290018483
1589275665344641538,1771,1589275665344552159,,0.00556048962159,-1.38818826206,1.13300064937
1589275665350833107,1772,1589275665350735263,,0.00585991514008,-1.41324532073,1.13871697008
1589275665356840448,1773,1589275665356750198,,0.00604241449886,-1.43814406389,1.14379367942
1589275665362728570,1774,1589275665362633092,,0.00657059416436,-1.46420188869,1.14846873169
1589275665368995859,1775,1589275665368815421,,0.00674524723945,-1.48972348061,1.15365780148
1589275665375248120,1776,1589275665375141089,,0.00728022077485,-1.50865512448,1.15673315886
1589275665381295092,1777,1589275665381140194,,0.00744787744213,-1.51617010384,1.15749396051
1589275665387666530,1778,1589275665387537379,,0.00783563409046,-1.54259221889,1.16204649138
1589275665390427734,1779,1589275665390364848,,0.00803302322734,-1.56865316121,1.16756505675
1589275665396147054,1780,1589275665396029146,,0.00835255320775,-1.59557733097,1.17184106734
1589275665402435648,1781,1589275665402346934,,0.00857511727648,-1.61455223528,1.17539009732
1589275665408356879,1782,1589275665408210584,,0.0088231600037,-1.62301826498,1.1753117233
1589275665414197293,1783,1589275665414050143,,0.00888621136843,-1.64957422899,1.18120135838
1589275665420123000,1784,1589275665420009055,,0.00923960343848,-1.67668462015,1.18655143111
1589275665426253125,1785,1589275665426053015,,0.00940596186323,-1.70341683307,1.19212091051
1589275665432355539,1786,1589275665432232819,,0.00955267997405,-1.73076935712,1.19826631176
1589275665438293312,1787,1589275665438144136,,0.00965003190374,-1.75838611213,1.20301141509
1589275665444158073,1788,1589275665444026775,,0.00991653315259,-1.78565648728,1.20895206467
1589275665450071245,1789,1589275665449962610,,0.0100040301364,-1.81327968395,1.21478169144
1589275665459033572,1790,1589275665458952714,,0.0104359548394,-1.84218004338,1.21830792164
1589275665465253165,1791,1589275665465142004,,0.0103981475596,-1.87022119322,1.22423813445
1589275665471090978,1792,1589275665471003641,,0.0106689853791,-1.89843049781,1.22986436305
1589275665477052519,1793,1589275665476961520,,0.0107166906655,-1.92645396154,1.2358578422
1589275665483023356,1794,1589275665482895213,,0.0107968887279,-1.95473211313,1.2413184698
1589275665489143021,1795,1589275665489024459,,0.0108277865664,-1.98316319119,1.24761606932
1589275665495295196,1796,1589275665495191330,,0.010876133761,-1.98331540727,1.2467206912
1589275665501040183,1797,1589275665500939289,,0.0109651506429,-2.01191909755,1.25218148046
1589275665507027613,1798,1589275665506911799,,0.0110733003543,-2.04045003586,1.25856470243
1589275665512966161,1799,1589275665512885340,,0.0112243820739,-2.06907053986,1.26417034927
1589275665518995047,1800,1589275665518906455,,0.0113701668099,-2.09803059281,1.27054889723
1589275665524979186,1801,1589275665524901984,,0.0114977461912,-2.12725751023,1.27615345454
1589275665531018850,1802,1589275665530940371,,0.0115657443502,-2.15663297966,1.28248068081
1589275665537015164,1803,1589275665536900709,,0.0116368477692,-2.18551752893,1.28876326926
1589275665542963261,1804,1589275665542887184,,0.0118518941704,-2.21516156879,1.29428516363
1589275665549115875,1805,1589275665549055637,,0.0120246949406,-2.24442845679,1.30093271379
1589275665554974069,1806,1589275665554916711,,0.0122924869495,-2.24442435692,1.29932210824
1589275665561099576,1807,1589275665561039966,,0.0122332799638,-2.27385652783,1.30570881377
1589275665567123834,1808,1589275665567053064,,0.0123826785423,-2.30326262616,1.31171484479
1589275665572964601,1809,1589275665572891336,,0.0125356347054,-2.33306061022,1.31867642673
1589275665579182755,1810,1589275665579093307,,0.0126626015656,-2.36222890367,1.32460721473
1589275665584976716,1811,1589275665584879185,,0.0127061594934,-2.39228779557,1.33135014856
1589275665591340261,1812,1589275665591208898,,0.0126229882665,-2.42250142314,1.33807134064
1589275665596894538,1813,1589275665596824241,,0.0128413041243,-2.45246841929,1.34482468624
1589275665602871697,1814,1589275665602793650,,0.0129586868294,-2.48238853712,1.35056263601
1589275665609002495,1815,1589275665608923542,,0.0130619549543,-2.50096506724,1.35427909838
1589275665614965299,1816,1589275665614883155,,0.0132477503562,-2.51144138998,1.35519221954
1589275665620987610,1817,1589275665620857350,,0.0133221511325,-2.54191553708,1.36177886468
1589275665626865814,1818,1589275665626783490,,0.0134566533016,-2.57152248915,1.36741954819
1589275665632846533,1819,1589275665632765808,,0.0136963695182,-2.60162526552,1.37418083263
1589275665638906110,1820,1589275665638746647,,0.0140355967595,-2.63011001523,1.37993447542
1589275665644930435,1821,1589275665644838383,,0.0141928746939,-2.65966144646,1.38632289879
1589275665650878585,1822,1589275665650787503,,0.0141605026999,-2.68789710487,1.39152336844
1589275665656964981,1823,1589275665656807882,,0.0138091716103,-2.71796322394,1.39773656191
1589275665662823689,1824,1589275665662730526,,0.0130251581383,-2.74706865167,1.40225983415
1589275665668902950,1825,1589275665668763370,,0.0126609593231,-2.74576977527,1.40039443793
1589275665674868780,1826,1589275665674770381,,0.0126362863152,-2.77604968646,1.40708079747
1589275665680934594,1827,1589275665680816793,,0.0124335156692,-2.80384840326,1.41149570769
1589275665687344424,1828,1589275665687260101,,0.0130189276039,-2.82662856717,1.41514049394
1589275665693072682,1829,1589275665692981070,,0.0129109371064,-2.85732237731,1.42152055976
1589275665698867298,1830,1589275665698782002,,0.0129248342958,-2.88819258128,1.42837267473
1589275665704877150,1831,1589275665704797352,,0.0129072383373,-2.91708738075,1.43424890043
1589275665711155443,1832,1589275665711060101,,0.0129652900993,-2.94770814041,1.44119857637
1589275665716793299,1833,1589275665716695252,,0.0130943452808,-2.977455555,1.4465947731
1589275665722925355,1834,1589275665722777093,,0.0131002030568,-3.00874814392,1.45351527264
1589275665728894777,1835,1589275665728824811,,0.0130037133186,-3.02495408724,1.45575763859
1589275665734942689,1836,1589275665734821154,,0.0126745664547,-3.03679271469,1.45626474751
1589275665740847235,1837,1589275665740749419,,0.0126032241908,-3.06818107998,1.4626824671
1589275665746917777,1838,1589275665746783739,,0.0125879343739,-3.10003093861,1.46924674842
1589275665752914156,1839,1589275665752770079,,0.0125377130449,-3.12963330957,1.47411478041
1589275665759318089,1840,1589275665759218192,,0.0127031603606,-3.16017659583,1.4806936807
1589275665765174703,1841,1589275665765090300,,0.0128098081842,-3.18809836919,1.48571233655
1589275665771066015,1842,1589275665770965451,,0.0129550063002,-3.21938731399,1.49275596002
1589275665777015487,1843,1589275665776907092,,0.0130889354711,-3.24947840626,1.4985062119
1589275665782945241,1844,1589275665782870367,,0.0130788659712,-3.28130443316,1.50567125836
1589275665795115512,1845,1589275665795033508,,0.0135289519128,-3.31017365783,1.51043061179
1589275665801215036,1846,1589275665801135699,,0.0134778543772,-3.34098694947,1.51609254471
1589275665806979860,1847,1589275665806894714,,0.0134119279156,-3.37295810492,1.52343989858
1589275665813274755,1848,1589275665813174936,,0.0132967068505,-3.40439277023,1.52904341616
1589275665819137107,1849,1589275665819040576,,0.0132786185964,-3.43675180656,1.53627197028
1589275665825097007,1850,1589275665825004009,,0.0131457090369,-3.4680347176,1.54179530957
1589275665831277730,1851,1589275665831164360,,0.0131664958682,-3.50032827822,1.54886388001
1589275665837228063,1852,1589275665837146700,,0.013107268842,-3.53238263564,1.55571224815
1589275665843012069,1853,1589275665842923820,,0.0132252000987,-3.56463462361,1.56276123946
1589275665855243777,1854,1589275665855149526,,0.013786864885,-3.59013662009,1.56587855198
1589275665861272465,1855,1589275665861163971,,0.0139453310682,-3.62235645963,1.57303888411
1589275665867165047,1856,1589275665867012967,,0.0141892197449,-3.65328128767,1.57898908235
1589275665873249203,1857,1589275665873091847,,0.0144052541414,-3.68583984574,1.58644030663
1589275665879449433,1858,1589275665879272770,,0.0146095722524,-3.7169476485,1.59227064299
1589275665885132406,1859,1589275665885014557,,0.0148646122563,-3.74965716904,1.59973516785
1589275665891589155,1860,1589275665891424697,,0.0150681600748,-3.78128024475,1.60545073473
1589275665897229430,1861,1589275665897122458,,0.0150814150117,-3.81372411951,1.61273564695
1589275665903226467,1862,1589275665903123252,,0.0153674971982,-3.84617379693,1.61990556407
1589275665909436288,1863,1589275665909365311,,0.015550052303,-3.87898196485,1.6272595238
1589275665915430588,1864,1589275665915208035,,0.0159535553875,-3.87554044235,1.62453252145
1589275665921121463,1865,1589275665921007286,,0.0161749885404,-3.90817002359,1.63185433475
1589275665927127142,1866,1589275665927013070,,0.0163733182943,-3.93939471472,1.63770770518
1589275665933159748,1867,1589275665933041395,,0.0166292322279,-3.97219548119,1.64535204054
1589275665939012936,1868,1589275665938921155,,0.01686633027,-4.00161097889,1.65084674398
1589275665945180547,1869,1589275665945095776,,0.0170894900313,-4.03433506306,1.65858875905
1589275665951200729,1870,1589275665951059015,,0.0171398126338,-4.06633110904,1.66473032318
1589275665957072121,1871,1589275665956943351,,0.0172308142307,-4.09952537871,1.67228603127
1589275665963027634,1872,1589275665962902713,,0.0169780143218,-4.13181966042,1.67817753916
1589275665969286101,1873,1589275665969162272,,0.0170075105761,-4.16490215513,1.68528535214
1589275665975345770,1874,1589275665975156161,,0.0166518792496,-4.16260331579,1.6824972655
1589275665981205908,1875,1589275665981122476,,0.0164527628921,-4.19558786225,1.68928077989
1589275665987643363,1876,1589275665987550451,,0.0162679076141,-4.22886290805,1.69668931843
1589275665993108906,1877,1589275665993019124,,0.0161987149397,-4.26052100896,1.70275552909
1589275665999163219,1878,1589275665999053397,,0.0162492158509,-4.29359836475,1.71007914579
1589275666005072695,1879,1589275666004982051,,0.0164755112686,-4.32465299631,1.71630000673
1589275666010997425,1880,1589275666010863677,,0.0165927796579,-4.35749897624,1.72356339062
1589275666017061405,1881,1589275666016997624,,0.0166984607741,-4.38879137718,1.72967313623
1589275666022990454,1882,1589275666022875874,,0.0166902298423,-4.42163415727,1.73719522447
1589275666029081688,1883,1589275666028989032,,0.0167688601411,-4.43356454662,1.73881857673
1589275666034989628,1884,1589275666034907689,,0.0169389249432,-4.45063187286,1.74267993535
1589275666041046102,1885,1589275666040966247,,0.0169587528229,-4.48139627265,1.74858366388
1589275666047027185,1886,1589275666046972588,,0.0168755250718,-4.51368248269,1.75592327759
1589275666053070692,1887,1589275666053005210,,0.0166959216429,-4.54370118599,1.76145038037
1589275666059115480,1888,1589275666058972087,,0.0166584633117,-4.57644914505,1.76875498844
1589275666064926757,1889,1589275666064849333,,0.0164628674527,-4.60655787061,1.7744406894
1589275666070998528,1890,1589275666070880634,,0.0163806520624,-4.6386236263,1.78148175696
1589275666077443191,1891,1589275666077300486,,0.0159046317425,-4.66872060351,1.78678901478
1589275666083027014,1892,1589275666082942766,,0.0158291820689,-4.70088015228,1.79386913688
1589275666092071938,1893,1589275666091960746,,0.0156808907139,-4.72814036897,1.7983089413
1589275666098039079,1894,1589275666097948265,,0.0157157659292,-4.75758572846,1.80413565009
1589275666104140091,1895,1589275666104054635,,0.0155782493524,-4.78974895907,1.81140347678
