%time,field.header.seq,field.header.stamp,field.header.frame_id,field.array.layout.data_offset,field.array.data0,field.array.data1,field.array.data2,field.array.data3,field.array.data4,field.array.data5,field.array.data6
1589285554994188263,0,1589285554993903136,,0,-0.00272615601765,-0.0795136351841,-0.135740540652,-0.0662451672911,0.0390841776202,-0.217986375941,-0.0222266667845
1589285554997289007,1,1589285554997197082,,0,-0.00272632549549,-0.0795159489635,-0.135740345724,-0.0662434884779,0.0390852230264,-0.217978626139,-0.0222288727504
1589285555000186663,2,1589285555000090613,,0,-0.00272579742338,-0.079510525432,-0.135741707668,-0.0662458076808,0.0390874370361,-0.217986902916,-0.0222289257537
1589285555005971264,3,1589285555005846191,,0,-0.00354842859836,-0.078241488274,-0.137215125709,-0.0649569154921,0.0400428475419,-0.21806671116,-0.0212543278286
1589285555008945112,4,1589285555008829859,,0,-0.00354870944305,-0.078243476022,-0.137215357022,-0.0649507599953,0.040043708927,-0.218065981031,-0.0212529192474
1589285555011895222,5,1589285555011812469,,0,-0.00284220058442,-0.0799597114723,-0.135166133664,-0.0661655017224,0.0390674789761,-0.21786564682,-0.0222442026508
1589285555014849633,6,1589285555014754063,,0,-0.00284106106475,-0.0799567023841,-0.135167655306,-0.0661631234727,0.0390710776159,-0.217868369658,-0.0222457102957
1589285555017833255,7,1589285555017767327,,0,-0.0028434731414,-0.0799570447175,-0.135166776976,-0.0661657265299,0.0390692103662,-0.217868062631,-0.0222435521373
1589285555020805653,8,1589285555020692716,,0,-0.0028393792989,-0.0799556078242,-0.135165569339,-0.0661605064229,0.0390669490922,-0.217870921213,-0.022242111488
1589285555029892696,9,1589285555029800596,,0,-0.00284027786934,-0.0799346759232,-0.135151768497,-0.0661689948502,0.0390720993665,-0.217902258735,-0.0222394879426
1589285555032976858,10,1589285555032850807,,0,-0.00284444565501,-0.0797580127599,-0.134918444946,-0.0660603595732,0.0390178327645,-0.217551389365,-0.022192141846
1589285555035938893,11,1589285555035848394,,0,-0.00245432300359,-0.0783088144972,-0.136297220954,-0.0662679855167,0.0389670949323,-0.217560969834,-0.0221560703584
1589285555038950548,12,1589285555038850417,,0,-0.00239641699112,-0.0778779145662,-0.135708838977,-0.0661251209221,0.0388003177726,-0.216765027494,-0.0221235842076
1589285555041888293,13,1589285555041793748,,0,-0.0024306794948,-0.0776720444615,-0.135628747052,-0.0661409420458,0.0388066900366,-0.216404470754,-0.0221502785665
1589285555044958565,14,1589285555044844669,,0,-0.00264710179124,-0.0779519738733,-0.133304286367,-0.0655951023807,0.0384263861853,-0.214148049179,-0.0221234092785
1589285555053770833,15,1589285555053691118,,0,-0.00288730463961,-0.0781300617818,-0.130168557382,-0.0646683147145,0.0378778968316,-0.211032131606,-0.0219884832353
1589285555056769960,16,1589285555056682101,,0,-0.00586792501494,-0.0753828388632,-0.128152775347,-0.0591743264072,0.0396170872455,-0.205697633625,-0.0188608615558
1589285555062820546,17,1589285555062701386,,0,-0.00582403767627,-0.0750516676074,-0.127917248379,-0.0590696524138,0.039339410771,-0.204893945215,-0.0187542436228
1589285555065807911,18,1589285555065694775,,0,-0.00402911671406,-0.0747573590733,-0.127939898758,-0.0610620965578,0.0378408420964,-0.204694756033,-0.0200655685259
1589285555068666079,19,1589285555068600884,,0,-0.0041478374973,-0.0750849556546,-0.127311128501,-0.0607717600514,0.0377611829327,-0.204372141512,-0.0199857744771
1589285555071714485,20,1589285555071650148,,0,-0.00371409094095,-0.0738642645531,-0.129274691225,-0.0611147643233,0.0377454897629,-0.205030458457,-0.0199877619907
1589285555077740195,21,1589285555077665992,,0,-0.00477003864701,-0.0721603030173,-0.131948311636,-0.0595781711895,0.0391328068215,-0.205918105531,-0.018720066284
1589285555080689033,22,1589285555080624942,,0,-0.00311233545522,-0.0719606263095,-0.132218043051,-0.0617083454633,0.0378048995193,-0.206330981851,-0.01999001885
1589285555086662788,23,1589285555086577622,,0,-0.00307199961651,-0.0713711988594,-0.131853610725,-0.0614745345635,0.0376478792874,-0.205607053623,-0.0198707556327
1589285555089757448,24,1589285555089657105,,0,-0.00224411146845,-0.0735467325041,-0.132548353073,-0.0637815721787,0.0371916431129,-0.208864942763,-0.0211106251889
1589285555092588763,25,1589285555092515005,,0,-0.00217130920916,-0.072970720749,-0.132211516748,-0.0635375496015,0.03695772776,-0.208140609801,-0.0209504880305
1589285555095569578,26,1589285555095512647,,0,-0.00222574844272,-0.0733367607114,-0.132331876269,-0.0636402338843,0.0369750949161,-0.208859364036,-0.0209236426792
1589285555098845242,27,1589285555098772145,,0,-0.00202781572514,-0.0735823109294,-0.133003064241,-0.0640925198387,0.0368978486128,-0.209922374023,-0.0210651589359
1589285555101672951,28,1589285555101599334,,0,-0.00204377662899,-0.0744369780805,-0.133272838483,-0.0644617339021,0.0369337235082,-0.211081991151,-0.0212227059168
1589285555111072942,29,1589285555111000040,,0,-0.00196829941594,-0.0747682960712,-0.134331679491,-0.0650125732037,0.0370596557687,-0.212516647854,-0.0213785685501
1589285555116586070,30,1589285555116510452,,0,-8.42993355471e-05,-0.0731288929302,-0.13358220075,-0.0665028135107,0.0352122552445,-0.210183853233,-0.0224421488076
1589285555119790006,31,1589285555119694109,,0,-7.86811621772e-05,-0.0726431397086,-0.133308757436,-0.0663239669298,0.0350735263188,-0.20929307403,-0.0223767282376
1589285555122492990,32,1589285555122418356,,0,-0.00012450843559,-0.0716322929835,-0.132008435264,-0.0656402270792,0.0346721732101,-0.206831211689,-0.0220952424093
1589285555128542276,33,1589285555128465788,,0,-0.000354252404571,-0.0710209001597,-0.129740446266,-0.0646653236504,0.0342240352981,-0.20384111406,-0.0217518877698
1589285555134714577,34,1589285555134651759,,0,-0.00183375480905,-0.0685419835406,-0.129541539944,-0.061717028217,0.035183749563,-0.200687348073,-0.0199691630199
1589285555140817482,35,1589285555140745686,,0,-0.00209830919724,-0.068986090812,-0.125450464766,-0.060712568266,0.0343306381877,-0.196764471048,-0.0198278126701
1589285555146877721,36,1589285555146809799,,0,-0.00233926642092,-0.0692615601186,-0.122404005237,-0.0598190665563,0.0337215179715,-0.193864731355,-0.0196257335483
1589285555149787767,37,1589285555149697869,,0,-0.00226440496792,-0.0683933400573,-0.120806146379,-0.0591386561951,0.0331764375829,-0.191327876156,-0.0194059307718
1589285555155881167,38,1589285555155795866,,0,-0.00204870779543,-0.0675212589728,-0.121660697396,-0.0592391420608,0.0330879134865,-0.191221630555,-0.0193551461199
1589285555158843646,39,1589285555158763505,,0,-0.00168524189648,-0.0662580806508,-0.123631017477,-0.0595894257122,0.0331563161355,-0.191899713688,-0.0193432901821
1589285555161764728,40,1589285555161690797,,0,-0.00250836735821,-0.0643711301269,-0.12751795681,-0.0585315892982,0.034689435405,-0.194003757129,-0.018230116217
1589285555167926948,41,1589285555167856285,,0,-0.00252408332989,-0.0647904967356,-0.128478199473,-0.058872630862,0.0349665415159,-0.195582644953,-0.0183323046097
1589285555170800527,42,1589285555170722955,,0,-0.00247357018636,-0.0649176815646,-0.129172223222,-0.058986553555,0.0350856881425,-0.196536279624,-0.0183432750615
1589285555173722039,43,1589285555173610762,,0,-0.00244918111142,-0.0650838081169,-0.129831044014,-0.0591648408459,0.0351912974008,-0.197489468043,-0.0183603604073
1589285555179709333,44,1589285555179622264,,0,-0.00205055972404,-0.0648690515901,-0.133544847355,-0.0603626746389,0.0356671332704,-0.201170883655,-0.0185997350707
1589285555182748914,45,1589285555182633974,,0,-0.00197438396654,-0.064352811301,-0.13319074738,-0.0601133045874,0.0354143996771,-0.200406778503,-0.0184421778
1589285555185787197,46,1589285555185697063,,0,-0.00191275055434,-0.0641975501001,-0.133658150123,-0.0602194738454,0.0353928251669,-0.200829695494,-0.0184031023966
1589285555188924191,47,1589285555188827395,,0,-0.00204084910804,-0.0640834400124,-0.132202702287,-0.0596764240744,0.035101293719,-0.199430375702,-0.0182031596048
1589285555191836110,48,1589285555191760659,,0,-0.00201208257505,-0.063608893922,-0.131891940934,-0.0594950561846,0.0349364150687,-0.198789016433,-0.0180849820387
1589285555194773768,49,1589285555194707953,,0,-0.00181800903592,-0.0619151529201,-0.130681012706,-0.0587240738464,0.0343600228499,-0.19585075706,-0.0177602464329
1589285555197914456,50,1589285555197835201,,0,-0.00181103815948,-0.0614807751465,-0.130401952361,-0.0585834309867,0.0342154060406,-0.195083973863,-0.0176877088015
1589285555201089531,51,1589285555200980266,,0,-0.00208067549752,-0.060643952951,-0.126254964454,-0.0570071950332,0.0333275553867,-0.189863081268,-0.0172129074365
1589285555203766417,52,1589285555203703086,,0,-0.00207085021414,-0.0602316504403,-0.125975158949,-0.0569111677264,0.033126081151,-0.189034814531,-0.0171309529732
1589285555206778413,53,1589285555206699590,,0,-0.00125879568907,-0.0610688957015,-0.123500985513,-0.0578543296595,0.0318042282003,-0.187229226551,-0.0179944830277
1589285555209646937,54,1589285555209565614,,0,-0.00198005778131,-0.0588438604816,-0.124949539738,-0.05637804574,0.0325327109592,-0.186070056353,-0.0168912498899
1589285555212622394,55,1589285555212555413,,0,-0.00121514144591,-0.059730528602,-0.121511241806,-0.0569974788856,0.0310444276588,-0.183427925633,-0.0176841555356
1589285555215663197,56,1589285555215591934,,0,-0.0012647487615,-0.0595725750848,-0.119311372786,-0.0563236153259,0.0305289106104,-0.181010654277,-0.0175612788101
1589285555218630957,57,1589285555218568728,,0,-0.00121868229784,-0.0590585392634,-0.118577869303,-0.0559749843553,0.030287454551,-0.179826059919,-0.0174494417154
1589285555227799423,58,1589285555227726756,,0,-0.00218580138612,-0.0566456935102,-0.118887509362,-0.0536606415767,0.0310771082982,-0.177651517653,-0.0160448893981
1589285555230682955,59,1589285555230621429,,0,-0.00213948158781,-0.0562084902304,-0.118529389847,-0.0534108102415,0.0309309407106,-0.177006440872,-0.0159370412234
1589285555233763639,60,1589285555233694057,,0,-0.00191350567596,-0.0552553889396,-0.118846999246,-0.0532857492143,0.0307706854815,-0.176529134084,-0.0158279513592
1589285555239696474,61,1589285555239627879,,0,-0.000807112985309,-0.0565705060937,-0.116995407613,-0.0547287732002,0.0294716800005,-0.176328757844,-0.016942788057
1589285555245800080,62,1589285555245724878,,0,-0.000711697902476,-0.0561895012678,-0.119394728707,-0.0551348407423,0.0299266627883,-0.178429965119,-0.0169160829093
1589285555248698964,63,1589285555248614044,,0,-0.00125128410822,-0.054895902482,-0.125272737078,-0.0551868428198,0.0316466210792,-0.182869473943,-0.0162333849554
1589285555252002534,64,1589285555251923394,,0,-0.00117721101158,-0.0544406962931,-0.124926706292,-0.0548613089332,0.0314909441041,-0.182224101392,-0.01610303771
1589285555257810185,65,1589285555257729882,,0,-2.77806469775e-05,-0.0559150146817,-0.123872369941,-0.0566958054192,0.0303305462349,-0.182991451215,-0.017329526341
1589285555260803291,66,1589285555260647601,,0,0.000279396389506,-0.0556261776651,-0.12578386128,-0.0574526965036,0.0304661671326,-0.184818647256,-0.0175038953531
